car_directory,cars,total,cars_70,cars_90,brand,model,year,brand_and_model,span_years,gap,cars_brand_model,cars_brand_model_70
renault_kangoo_2007,126,308,124,118,renault,kangoo,2007,renault_kangoo,18,0,1931,1900
hyundai_ix35_2015,90,212,88,86,hyundai,ix35,2015,hyundai_ix35,7,0,814,802
bmw_435_2015,132,274,130,126,bmw,435,2015,bmw_435,4,0,418,410
audi_s5_2016,104,298,101,97,audi,s5,2016,audi_s5,12,0,1420,1381
bmw_114_2015,76,200,75,74,bmw,114,2015,bmw_114,7,0,801,783
citroen_jumpy_2014,155,414,151,144,citroen,jumpy,2014,citroen_jumpy,13,0,1547,1522
volkswagen_others_2009,117,257,115,109,volkswagen,others,2009,volkswagen_others,18,1,1845,1802
seat_alhambra_2007,99,228,99,94,seat,alhambra,2007,seat_alhambra,18,0,1790,1782
opel_antara_2010,104,228,104,103,opel,antara,2010,opel_antara,11,0,1229,1215
volkswagen_t5_2014,87,241,86,86,volkswagen,t5,2014,volkswagen_t5,13,0,1229,1201
audi_tts_2011,125,251,120,114,audi,tts,2011,audi_tts,11,1,1111,1079
suzuki_vitara_2017,115,247,115,113,suzuki,vitara,2017,suzuki_vitara,4,0,406,403
skoda_fabia_2007,101,224,101,99,skoda,fabia,2007,skoda_fabia,18,0,1894,1874
mazda_mx-5_2007,182,293,182,174,mazda,mx-5,2007,mazda_mx-5,18,0,2864,2800
ssangyong_rexton_2015,84,206,84,80,ssangyong,rexton,2015,ssangyong_rexton,15,5,1281,1259
mercedes-benz_b-160_2015,109,224,108,107,mercedes-benz,b-160,2015,mercedes-benz_b-160,9,1,750,744
skoda_fabia_2001,104,222,104,101,skoda,fabia,2001,skoda_fabia,18,0,1894,1874
mazda_5_2012,89,232,89,84,mazda,5,2012,mazda_5,11,0,1118,1110
chrysler_pt-cruiser_2001,106,256,101,97,chrysler,pt-cruiser,2001,chrysler_pt-cruiser,8,0,1118,1097
mercedes-benz_a-45-amg_2015,111,270,106,103,mercedes-benz,a-45-amg,2015,mercedes-benz_a-45-amg,6,0,666,639
volkswagen_golf-gti_2010,163,342,156,145,volkswagen,golf-gti,2010,volkswagen_golf-gti,18,0,2393,2336
chrysler_sebring_2003,121,215,116,110,chrysler,sebring,2003,chrysler_sebring,9,3,578,569
bmw_530_2003,102,203,101,99,bmw,530,2003,bmw_530,18,0,1958,1919
isuzu_d-max_2017,98,226,97,96,isuzu,d-max,2017,isuzu_d-max,7,0,663,650
smart_fortwo_2006,195,381,191,183,smart,fortwo,2006,smart_fortwo,18,0,2410,2349
citroen_c-zero_2018,68,188,67,64,citroen,c-zero,2018,citroen_c-zero,2,0,170,168
lancia_phedra_2003,63,142,63,61,lancia,phedra,2003,lancia_phedra,7,0,512,505
fiat_punto_2003,137,282,134,132,fiat,punto,2003,fiat_punto,18,0,2405,2367
mercedes-benz_a-190_2003,59,144,58,57,mercedes-benz,a-190,2003,mercedes-benz_a-190,3,0,287,285
volkswagen_t5-caravelle_2014,66,202,63,61,volkswagen,t5-caravelle,2014,volkswagen_t5-caravelle,12,0,1238,1223
volkswagen_t6-transporter_2015,165,449,162,157,volkswagen,t6-transporter,2015,volkswagen_t6-transporter,4,0,490,478
citroen_grand-c4-picasso_2016,83,226,83,80,citroen,grand-c4-picasso,2016,citroen_grand-c4-picasso,12,0,1340,1329
opel_zafira-tourer_2015,89,225,88,84,opel,zafira-tourer,2015,opel_zafira-tourer,7,0,640,632
nissan_qashqai_2014,94,235,90,87,nissan,qashqai,2014,nissan_qashqai,12,0,1292,1272
nissan_terrano-ii_2001,110,227,106,97,nissan,terrano-ii,2001,nissan_terrano-ii,2,0,171,166
citroen_jumpy_2012,136,307,133,132,citroen,jumpy,2012,citroen_jumpy,13,0,1547,1522
porsche_panamera_2013,102,259,100,98,porsche,panamera,2013,porsche_panamera,10,0,1116,1084
bmw_535_2011,93,223,89,86,bmw,535,2011,bmw_535,13,0,1356,1333
chevrolet_camaro_2016,136,266,135,131,chevrolet,camaro,2016,chevrolet_camaro,8,0,1107,1090
mazda_cx-5_2013,112,258,109,104,mazda,cx-5,2013,mazda_cx-5,7,0,690,673
bmw_235_2015,100,259,98,97,bmw,235,2015,bmw_235,4,0,337,334
jaguar_s-type_2008,51,111,51,49,jaguar,s-type,2008,jaguar_s-type,8,0,997,969
bmw_218_2017,82,210,78,77,bmw,218,2017,bmw_218,5,0,515,505
suzuki_ignis_2001,93,210,93,92,suzuki,ignis,2001,suzuki_ignis,18,8,1052,1045
mitsubishi_colt_2008,98,228,98,95,mitsubishi,colt,2008,mitsubishi_colt,10,0,1083,1074
bmw_140_2018,76,232,72,71,bmw,140,2018,bmw_140,2,0,242,233
jeep_commander_2008,92,205,89,80,jeep,commander,2008,jeep_commander,2,0,210,205
fiat_freemont_2013,87,227,85,80,fiat,freemont,2013,fiat_freemont,6,0,728,716
renault_twingo_2010,128,291,127,126,renault,twingo,2010,renault_twingo,18,0,2417,2378
kia_rio_2008,95,229,92,87,kia,rio,2008,kia_rio,17,0,1962,1936
